FieldName,Description
MEDIA8_9_TEXT,Has a doctor ever told you that you have any of the following health conditions [check all that apply]? - Other - Text
MEDIA9,"Did you receive the flu vaccine this year (i.e., in the Fall)?"
MEDIA10,To what extent do you agree or disagree with the following statement:  I have specific concerns about vaccines and their safety that would prevent me from vaccinating myself or my children according to the recommended vaccination schedule.
MEDIA11,Which of the following best describes your smoking status?
MEDIA12,"Do you now use e-cigarettes or other electronic â€œvapingâ€ products every day, some days, or not at all?"
MEDIA13,"In the past 4 weeks, have you been in close contact with a person who has tested positive for Coronavirus?"
MEDIA14,"In the past 4 weeks, have you been ill with a cold or flu-like illness?"
MEDIA15,Have you been tested for Coronavirus?
MEDIA16,In the last two weeks have you (or other adults in your household) sought food assistance from any of the following [check all that apply]:
MEDIA17,"In the last 6 weeks, did you (other adults in your household) ever cut the size of your meals or skip meals because there wasn't enough money for food?"
MH1,Little interest or pleasure in doing things
MH2,"Feeling down, depressed or hopeless"
CHILDCARE1,Do you have school-age kids?
CHILDCARE1_1,"If yes, what are their ages [check all that apply]:"
CHILDCARE1_2,"In response to social distancing measures put in place, have schools in your area closed?"
CHILDCARE1_3,Which of the following best describes what you are currently doing for childcare? - Selected Choice
CHILDCARE1_3_6_TEXT,"Which of the following best describes what you are currently doing for childcare? - Kids are being watched by another caretaker, specify - Text"
CHILDCARE1_3_7_TEXT,"Which of the following best describes what you are currently doing for childcare? - Other, - Text"
CHILDCARE2,Is free â€œgrab-and-goâ€ breakfast and lunch for children available  in your school district?
CHILDCARE3,Do you have an adult child in college?
CHILDCARE3_1,"If yes, did your adult childâ€™s university close the campus?"
CHILDCARE3_2,"If yes, is your college-age child/children living with you now?"
ELDERLYCARE1,"Besides yourself, is there anyone living with you (or that you live with) who is 65 years old or older?"
ELDERLYCARE1_1,"If yes, how many:"
IDEOLOGY1,"In politics today, do you consider yourself a Republican, Democrat, or Independent? - Selected Choice"
IDEOLOGY1_6_TEXT,"In politics today, do you consider yourself a Republican, Democrat, or Independent? - Other, describe - Text"
IDEOLOGY2,"If Independent, which other party might you feel most close to? [Even if you are not registered as an Independent, select which party you might feel closest to]: - Selected Choice"
IDEOLOGY2_9_TEXT,"If Independent, which other party might you feel most close to? [Even if you are not registered as an Independent, select which party you might feel closest to]: - Other, specify - Text"
IDEOLOGY3,Are you planning to vote [have you already voted] in the Democratic Primary?
IDEOLOGY4,"Whether or not you were able to vote, who are/were you planning to vote for in the Democratic Primary? [if you did vote, select or write-in who you voted for] - Selected Choice"
IDEOLOGY4_5_TEXT,"Whether or not you were able to vote, who are/were you planning to vote for in the Democratic Primary? [if you did vote, select or write-in who you voted for] - Someone else, write-in below - Text"
IDEOLOGY5,"If you had to describe your ideology along a Left-Right political spectrum, which of the following would come closest to how you would describe yourself?"
IDEOLOGY6,How political do you consider yourself to be?
IDEOLOGY7,Who did you vote for in the 2016 Presidential Election? - Selected Choice
IDEOLOGY7_7_TEXT,"Who did you vote for in the 2016 Presidential Election? - Someone else, specify in the box below - Text"
IDEOLOGY8,Who do you plan to vote in the 2020 Presidential election? - Selected Choice
IDEOLOGY8_10_TEXT,"Who do you plan to vote in the 2020 Presidential election? - Write in other candidate, specify who in the box - Text"
CULTURE1_1,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - The government interferes far too much in our everyday lives
CULTURE1_2,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - Sometimes government needs to make laws that protect people from hurting themselves
CULTURE1_3,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - Itâ€™s not the governmentâ€™s business to try to protect people from hurting themselves.
CULTURE1_4,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - The government should stop telling people how to live their lives.
CULTURE1_5,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - The government should do more to advance societyâ€™s goals even if that means limiting the freedom of choices of individuals.
CULTURE1_6,People in our society often disagree about how far to let individuals go in making decisions for... - Click to write Column 1 - Government should put limits on the choices individuals can make so they do not get in the way of what is good for society.
CULTURE2_1,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - We have gone too far in pushing for equal rights in this country.
CULTURE2_2,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - Our society would be better off if the distribution of wealth was more equal.
CULTURE2_3,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - We need to dramatically reduce economic inequalities.
CULTURE2_4,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - We need to dramatically reduce inequalities between blacks and whites.
CULTURE2_5,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - We need to dramatically reduce inequalities between men and women.
CULTURE2_6,People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - Discrimination against minorities is still a very serious problem in our society.
CULTURE2_7,"People in our society often disagree about issues of equality and discrimination. How strongly do... - Click to write Column 1 - It seems like blacks, women, homosexuals and other groups donâ€™t want equal rights, they want special rights just for them."
RUMORS1,"The following are a list of theories about the origins of the Coronavirus that you may or may not have heard discussed in different outlets. Regardless of whether you think they are true or not, please mark all of the theories that you heard about the origins of the Coronavirus as of today [check all that apply]: - Selected Choice"
RUMORS1_15_TEXT,"The following are a list of theories about the origins of the Coronavirus that you may or may not have heard discussed in different outlets. Regardless of whether you think they are true or not, please mark all of the theories that you heard about the origins of the Coronavirus as of today [check all that apply]: - Other, specify - Text"
RUMORS2,Which do you personally believe is the most likely origin of the Coronavirus?: - Selected Choice
RUMORS2_9_TEXT,"Which do you personally believe is the most likely origin of the Coronavirus?: - Other, specify - Text"
DEMOGRAPHIC1,"What kind of work do you do? That is, what is your occupation? (For example: plumber, typist, farmer, retired, student...)"
DEMOGRAPHIC2,Is your job considered â€œessentialâ€ according to the rules of your state or what your employer has told you?
DEMOGRAPHIC3,What year were you born?
DEMOGRAPHIC4,In which state are you currently residing (may be different than your permanent address)?
DEMOGRAPHIC5,Please enter your zip or postal code of your permanent address:
DEMOGRAPHIC6,Were you born in the US?
DEMOGRAPHIC7,Are you or your partner currently pregnant?
DEMOGRAPHIC8,"What is your present religion, if any? - Selected Choice"
DEMOGRAPHIC8_13_TEXT,"What is your present religion, if any? - Something else (SPECIFY) - Text"
DEMOGRAPHIC9,"How important is religion in your life â€“ very important, somewhat important, not too important, or not at all important?"
DEMOGRAPHIC10,What gender do you identify as? - Selected Choice
DEMOGRAPHIC10_4_TEXT,"What gender do you identify as? - Other, specify - Text"
DEMOGRAPHIC11,What was your annual household income in 2019 in US dollars?
DEMOGRAPHIC12,Which of the following categories best describes your race/ethnicity?
DEMOGRAPHIC13,How would you describe your class background as you experienced it growing up?
